GPA 0,2010  2014,,,University of Rochester,Software Engineering Intern,UBS,Jun 2013  Aug 2013,3 mos,Data Structures Workshop Leader,University of Rochester,Sep 2013  May 2014,9 mos,Software Engineer,UBS,Aug 2014  Present,3 yrs 4 mos
3.7 GPA,2015  2017,Bachelor of Science - BS,,University of Rochester,Summer Intern,Hecticus Software Inc,Jul 2015  Aug 2015,2 mos,Android Developer,University of Rochester Medical Center,Feb 2017  May 2017,4 mos,Software Engineer,Bloomberg LP,Jul 2017  Present,5 mos
GPA 0,2011  2015,Bachelor of Science (B.S.),,University of Rochester,Teaching Intern,University of Rochester,Sep 2014  May 2015,9 mos,Instructor,STEP IT Academy,Sep 2015  Jan 2016,5 mos,Software Engineer,IBM,Feb 2016  Present,1 yr 10 mos
GPA 3.9,2013  2015,Master of Science (MS),,New York University,R&D Software Developer,Bloomberg LP,Jun 2015  Sep 2015,4 mos,Software Engineer,Bloomberg LP,Sep 2015  Present,2 yrs 3 mos,Entrepreneur,L&W Enterprise,Feb 2015  Present,2 yrs 10 mos
GPA 0,2011  2015,Bachelor of Science,,University of Rochester,Vice President of Academic Living Center Operations,Sigma Phi Epsilon,Jan 2014  Dec 2014,12 mos,Ruby Developer,University of Rochester Medical Center,Aug 2014  May 2015,10 mos,Software Engineer,IBM,Jun 2015  Present,2 yrs 6 mos
Software Engineer,Zimmer Biomet,,
GPA 0,2012  2016,Bachelor's Degree,,University of Rochester,Associate Software Engineer,|Pivotal, Inc.|,Sep 2016  Present,1 yr 3 mos
GPA 0,2010  2014,Bachelor of Science,,University of Rochester,Software Engineering Intern,Google,May 2012  Aug 2012,4 mos,Software Engineering Intern,Google,May 2013  Aug 2013,4 mos,Software Engineer,Google,Jul 2014  Present,3 yrs 5 mos
GPA 0,2014  2018,Bachelor of Science (B.S.),,University of Rochester,Software Engineering Intern,Soleo,May 2016  Dec 2016,8 mos,Software Engineering Intern,FactSet,May 2017  Aug 2017,4 mos,Software Engineer,ActionIQ,Nov 2017  Present,1 mo
GPA 0,2012  2016,Bachelor of Science (B.S.),,University of Rochester,Software Engineering Internship,HBO,Jun 2015  Aug 2015,3 mos,Web Developer for the Political Science Department,University of Rochester,Feb 2014  May 2016,2 yrs 4 mos,Software Engineer,HBO,Jun 2016  Present,1 yr 6 mos
GPA 0,2015,Bachelor's Degree,,Stony Brook University,Software Engineer,Scholastic,Jun 2015  Present,2 yrs 6 mos
GPA 0,2012  2016,Bachelor of Arts (B.A.),,University of Rochester,Bag Room Attendant,Monroe Golf Club,Aug 2010  Aug 2013,3 yrs 1 mo,Brokerage Intern,|Rochester Wealth Management Group, LLC|,May 2013  Aug 2013,4 mos,Financial Software Engineer,Rebar Systems,Jul 2016  Present,1 yr 5 mos
GPA 0,2014  2016,Bachelor of Science (B.S.),,University of Rochester,Intern,|Russian Media Group, LLC & Shalom TV|,May 2013  Aug 2013,4 mos,General Programming Intern,What If Media Group,May 2015  Aug 2015,4 mos,Security Software Engineer Intern,Apple,May 2016  Present,1 yr 7 mos
GPA 0,2017  2017,Master of Engineering - MEng,,Cornell University,Mobile Application Developer,RosieApp,Jun 2015  May 2016,1 yr,Software Engineer Intern,Facebook,May 2016  Aug 2016,4 mos,Software Engineer,Facebook,Aug 2017  Present,4 mos
GPA 0,2010  2014,Bachelor of Science (BS),,University of Rochester,Student Researcher in Numerical Astrophysics,University of Rochester Department of Physics and Astronomy,Jan 2012  May 2014,2 yrs 5 mos,|Financial Software Developer, Cross Asset Derivatives|,Bloomberg LP,Jul 2014  Aug 2016,2 yrs 2 mos,Software Engineer,Google,Aug 2016  Present,1 yr 4 mos
3.6 (with Honors),2005  2009,Bachelor's degree,,|University of California, Santa Barbara|,Software Engineer,The Difference Engine,May 2017  Oct 2017,6 mos,English Teacher,VIPKID,Jun 2016  Present,1 yr 6 mos,Freelance Software Engineer,|Freelance, self-employed|,Aug 2017  Present,4 mos
GPA 0,,Bachelor of Science - BS,,City University of New York,Software Engineer,IIIYI,,
GPA 0,2012  2017,Bachelor of Science - International Undergraduate Honors Program,,Tecnolgico de Monterrey,Web Development Intern,Engrana,Jun 2015  Aug 2015,3 mos,Software Engineering Intern,CompareGlobalGroup,Apr 2016  Jul 2016,4 mos,Software Engineer,Google,Jul 2017  Present,5 mos
GPA 0,2012  2016,Bachelor of Arts (B.A.),,Amherst College,Diversity Intern,Amherst College Office of Admission,2013  2016,3 yrs,Teaching Assistant,Amherst College Department of Computer Science,2015  2016,1 yr,Software Engineer,Google,Sep 2016  Present,1 yr 3 mos
GPA 0,2013  2017,Bachelor of Science (B.S.),,New York University,Software Developer Intern,AIG,Jun 2016  Aug 2016,3 mos,iOS Engineer Intern,|NBCUniversal Media, LLC|,Sep 2016  Dec 2016,4 mos,Software Engineer,Qualtrics,Jul 2017  Present,5 mos
GPA 0,2012  2016,Bachelor of Arts (BA),,Brown University,Software Engineering Intern,Square,Jun 2014  Aug 2014,3 mos,Software Engineering Intern,Udacity,Jun 2015  Aug 2015,3 mos,Software Engineer,Google,Sep 2016  Present,1 yr 3 mos
GPA 0,2012,Bachelors Degree,,The Open University of Israel,Coding Bootcamp Mentor,Israel Tech Challenge,Nov 2015  Apr 2016,6 mos,Lead Software Engineer,EZ Lane,Aug 2014  Aug 2016,2 yrs 1 mo,Software Development Engineer,|The Trade Desk, Inc.|,Sep 2016  Present,1 yr 3 mos
GPA 0,2015  2017,Master of Science (M.S.),,New York University,Software Engineer Intern,Intel Corporation,Mar 2015  Jul 2015,5 mos,Software Engineer Intern,Google,May 2016  Aug 2016,4 mos,Software Engineer,Google,Jul 2017  Present,5 mos
